HomePlanet,CryoSleep,Destination,Age,VIP,CabinDeck,CabinNumber,CabinSide,TotalSpent
Europa,False,TRAPPIST-1e,39.0,False,B,0,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,F,0,S,736.0
Europa,False,TRAPPIST-1e,58.0,True,A,0,S,10383.0
Europa,False,TRAPPIST-1e,33.0,False,A,0,S,5176.0
Earth,False,TRAPPIST-1e,16.0,False,F,1,S,1091.0
Earth,False,PSO J318.5-22,44.0,False,F,0,P,774.0
Earth,False,TRAPPIST-1e,26.0,False,F,2,S,1584.0
Earth,False,TRAPPIST-1e,35.0,False,F,3,S,1018.0
Europa,True,55 Cancri e,14.0,False,B,1,P,0.0
Europa,False,55 Cancri e,45.0,False,B,1,P,8157.0
Mars,False,TRAPPIST-1e,32.0,False,F,1,P,1309.0
Earth,False,TRAPPIST-1e,48.0,False,G,1,S,809.0
Earth,False,TRAPPIST-1e,28.0,False,F,2,P,1003.0
Earth,False,55 Cancri e,24.0,False,F,4,P,638.0
Mars,True,TRAPPIST-1e,45.0,False,F,5,P,0.0
Earth,False,TRAPPIST-1e,0.0,False,G,0,P,0.0
Earth,False,55 Cancri e,14.0,False,F,6,P,1092.0
Earth,True,TRAPPIST-1e,1.0,False,E,0,S,0.0
Earth,True,55 Cancri e,49.0,False,E,0,S,0.0
Earth,False,TRAPPIST-1e,10.0,False,E,0,S,0.0
Earth,False,TRAPPIST-1e,7.0,False,E,0,S,0.0
Earth,False,TRAPPIST-1e,15.0,False,F,6,S,1223.0
Europa,False,55 Cancri e,34.0,False,C,0,P,7861.0
Mars,False,TRAPPIST-1e,43.0,False,F,8,P,1309.0
Earth,False,TRAPPIST-1e,32.0,False,G,4,S,1821.0
Mars,False,TRAPPIST-1e,47.0,False,F,9,P,2854.0
Mars,False,TRAPPIST-1e,2.0,False,F,9,P,0.0
Europa,True,55 Cancri e,28.0,False,D,1,S,0.0
Mars,False,55 Cancri e,23.0,False,D,1,P,2699.0
Earth,False,55 Cancri e,20.0,False,F,10,S,3355.0
Earth,True,TRAPPIST-1e,17.0,False,G,2,P,0.0
Europa,False,TRAPPIST-1e,45.0,False,B,3,P,3575.0
Earth,True,TRAPPIST-1e,55.0,False,G,3,P,0.0
Earth,True,55 Cancri e,4.0,False,G,3,P,0.0
Earth,True,PSO J318.5-22,21.0,False,G,3,P,0.0
Mars,False,TRAPPIST-1e,21.0,False,F,10,P,1214.0
Earth,False,TRAPPIST-1e,56.0,False,E,2,S,1618.0
Earth,False,TRAPPIST-1e,25.0,False,F,11,S,1939.0
Europa,False,TRAPPIST-1e,2.0,False,A,1,S,0.0
Europa,True,TRAPPIST-1e,38.0,False,A,1,S,0.0
Europa,False,TRAPPIST-1e,27.0,False,A,1,S,4547.0
Earth,True,PSO J318.5-22,36.0,False,G,7,S,0.0
Earth,False,TRAPPIST-1e,22.0,False,F,12,S,2667.0
Earth,False,TRAPPIST-1e,62.0,False,F,13,S,634.0
Earth,False,TRAPPIST-1e,62.0,False,G,6,P,811.0
Earth,True,PSO J318.5-22,0.0,False,G,10,S,0.0
Earth,False,TRAPPIST-1e,18.0,False,G,10,S,705.0
Earth,False,55 Cancri e,21.0,False,F,15,S,2007.0
Earth,False,TRAPPIST-1e,19.0,False,F,13,P,922.0
Earth,False,TRAPPIST-1e,17.0,False,F,14,P,2233.0
Earth,False,TRAPPIST-1e,14.0,False,F,17,S,1064.0
Mars,False,PSO J318.5-22,37.0,False,D,3,P,879.0
Europa,False,TRAPPIST-1e,42.0,False,C,3,S,8904.0
Mars,False,TRAPPIST-1e,27.0,False,F,18,S,1165.0
Mars,False,TRAPPIST-1e,28.0,False,F,15,P,1309.0
Europa,False,TRAPPIST-1e,38.0,False,C,4,S,15815.0
Earth,True,TRAPPIST-1e,13.0,False,G,13,S,0.0
Mars,False,TRAPPIST-1e,42.0,False,F,16,P,7406.0
Mars,True,TRAPPIST-1e,2.0,False,F,16,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,G,14,S,705.0
Europa,True,TRAPPIST-1e,40.0,False,C,5,S,0.0
Earth,False,TRAPPIST-1e,43.0,False,F,17,P,1362.0
Mars,True,PSO J318.5-22,45.0,False,E,5,S,0.0
Earth,True,TRAPPIST-1e,35.0,False,G,15,S,0.0
Earth,False,TRAPPIST-1e,27.0,False,F,20,S,917.0
Earth,False,TRAPPIST-1e,19.0,False,G,9,P,705.0
Earth,True,TRAPPIST-1e,3.0,False,G,9,P,0.0
Europa,False,TRAPPIST-1e,54.0,False,A,2,S,1848.0
Earth,False,TRAPPIST-1e,26.0,False,G,11,P,893.0
Earth,False,TRAPPIST-1e,26.0,False,G,11,P,3855.0
Earth,False,PSO J318.5-22,23.0,False,F,19,P,1301.0
Earth,False,TRAPPIST-1e,18.0,False,F,23,S,921.0
Earth,True,55 Cancri e,9.0,False,G,18,S,0.0
Earth,True,TRAPPIST-1e,6.0,False,G,18,S,0.0
Mars,False,TRAPPIST-1e,21.0,False,D,2,S,1765.0
Earth,True,TRAPPIST-1e,23.0,False,G,19,S,0.0
Europa,False,TRAPPIST-1e,42.0,False,B,5,P,15940.0
Europa,True,TRAPPIST-1e,28.0,False,B,5,P,0.0
Europa,True,TRAPPIST-1e,29.0,False,E,6,S,0.0
Europa,False,55 Cancri e,48.0,True,B,1,S,2654.0
Earth,False,TRAPPIST-1e,64.0,False,F,23,P,804.0
Earth,False,TRAPPIST-1e,27.0,False,G,20,S,907.0
Europa,False,TRAPPIST-1e,33.0,False,D,4,P,2640.0
Europa,True,TRAPPIST-1e,13.0,False,A,0,P,0.0
Earth,False,TRAPPIST-1e,29.0,False,G,21,S,773.0
Earth,False,TRAPPIST-1e,18.0,False,F,27,P,702.0
Mars,True,TRAPPIST-1e,67.0,False,F,27,S,0.0
Mars,False,TRAPPIST-1e,35.0,False,E,7,S,1022.0
Mars,False,TRAPPIST-1e,61.0,True,D,3,S,3014.0
Mars,False,TRAPPIST-1e,45.0,False,E,8,S,2109.0
Mars,True,TRAPPIST-1e,19.0,False,F,29,S,0.0
Mars,False,TRAPPIST-1e,36.0,False,D,5,S,2738.0
Earth,False,TRAPPIST-1e,19.0,False,G,17,P,744.0
Earth,True,TRAPPIST-1e,13.0,False,G,18,P,0.0
Europa,True,55 Cancri e,35.0,False,C,6,S,0.0
Earth,True,TRAPPIST-1e,24.0,False,G,19,P,0.0
Earth,False,TRAPPIST-1e,26.0,False,F,29,P,902.0
Earth,False,TRAPPIST-1e,20.0,False,F,31,S,630.0
Earth,False,TRAPPIST-1e,56.0,False,G,25,S,0.0
Earth,True,TRAPPIST-1e,50.0,False,G,26,S,0.0
Mars,False,TRAPPIST-1e,42.0,False,F,31,P,1158.0
Earth,True,55 Cancri e,38.0,False,G,20,P,0.0
Earth,False,TRAPPIST-1e,22.0,False,G,22,P,4180.0
Europa,True,TRAPPIST-1e,26.0,False,B,8,P,0.0
Europa,True,TRAPPIST-1e,17.0,False,B,8,P,0.0
Earth,True,PSO J318.5-22,17.0,False,G,28,S,0.0
Mars,True,TRAPPIST-1e,13.0,False,F,35,S,0.0
Mars,False,TRAPPIST-1e,27.0,False,F,35,S,1572.0
Earth,True,TRAPPIST-1e,31.0,False,G,23,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,E,10,S,788.0
Earth,True,PSO J318.5-22,19.0,False,G,30,S,0.0
Earth,True,TRAPPIST-1e,32.0,False,G,24,P,0.0
Earth,False,55 Cancri e,21.0,False,F,38,P,593.0
Europa,False,TRAPPIST-1e,38.0,False,B,2,S,27428.0
Mars,False,TRAPPIST-1e,38.0,False,D,6,S,3722.0
Earth,False,TRAPPIST-1e,19.0,False,G,26,P,906.0
Earth,False,TRAPPIST-1e,0.0,False,G,26,P,0.0
Earth,False,TRAPPIST-1e,3.0,False,G,26,P,0.0
Earth,False,TRAPPIST-1e,20.0,False,G,27,P,394.0
Europa,True,TRAPPIST-1e,24.0,False,C,3,P,0.0
Earth,False,TRAPPIST-1e,37.0,False,F,36,S,821.0
Earth,False,TRAPPIST-1e,25.0,False,G,28,P,1018.0
Earth,True,TRAPPIST-1e,56.0,False,G,31,S,0.0
Earth,False,55 Cancri e,49.0,False,E,8,P,788.0
Earth,True,TRAPPIST-1e,1.0,False,G,29,P,0.0
Earth,False,TRAPPIST-1e,8.0,False,G,29,P,0.0
Earth,False,TRAPPIST-1e,39.0,False,G,29,P,908.0
Mars,True,TRAPPIST-1e,2.0,False,F,41,P,0.0
Mars,False,TRAPPIST-1e,0.0,False,F,41,P,0.0
Mars,False,TRAPPIST-1e,39.0,False,F,42,P,1273.0
Mars,False,PSO J318.5-22,25.0,False,D,5,P,1778.0
Europa,False,TRAPPIST-1e,36.0,False,C,5,P,2342.0
Earth,True,TRAPPIST-1e,18.0,False,G,33,S,0.0
Earth,True,TRAPPIST-1e,15.0,False,G,31,P,0.0
Europa,True,TRAPPIST-1e,35.0,False,B,3,S,0.0
Europa,True,TRAPPIST-1e,47.0,False,B,3,S,0.0
Europa,True,55 Cancri e,45.0,False,B,9,P,0.0
Europa,True,TRAPPIST-1e,51.0,False,C,8,S,0.0
Earth,False,TRAPPIST-1e,29.0,False,G,34,S,773.0
Earth,True,PSO J318.5-22,19.0,False,G,32,P,0.0
Mars,False,TRAPPIST-1e,29.0,False,F,44,P,1040.0
Mars,True,TRAPPIST-1e,11.0,False,F,44,P,0.0
Mars,False,TRAPPIST-1e,17.0,False,F,44,P,1337.0
Earth,False,TRAPPIST-1e,13.0,False,E,9,P,982.0
Earth,False,TRAPPIST-1e,35.0,False,F,45,P,732.0
Earth,False,TRAPPIST-1e,21.0,False,F,46,P,794.0
Earth,False,55 Cancri e,21.0,False,F,40,S,1974.0
Earth,False,TRAPPIST-1e,38.0,False,F,47,P,1544.0
Earth,True,TRAPPIST-1e,19.0,False,G,36,P,0.0
Earth,True,TRAPPIST-1e,2.0,False,G,37,P,0.0
Earth,False,TRAPPIST-1e,0.0,False,G,37,P,0.0
Earth,True,TRAPPIST-1e,13.0,False,G,37,P,0.0
Earth,False,TRAPPIST-1e,16.0,False,F,48,P,1102.0
Earth,False,55 Cancri e,1.0,False,G,37,P,0.0
Earth,True,TRAPPIST-1e,15.0,False,G,37,P,0.0
Mars,False,55 Cancri e,21.0,False,E,13,S,2356.0
Mars,False,TRAPPIST-1e,23.0,False,E,13,S,1298.0
Mars,False,TRAPPIST-1e,33.0,False,E,13,S,2134.0
Mars,True,TRAPPIST-1e,21.0,False,E,13,S,0.0
Mars,False,TRAPPIST-1e,41.0,False,E,13,S,2597.0
Mars,False,TRAPPIST-1e,16.0,False,E,13,S,1370.0
Mars,True,TRAPPIST-1e,42.0,False,E,13,S,0.0
Mars,False,TRAPPIST-1e,20.0,False,F,41,S,1417.0
Mars,True,TRAPPIST-1e,24.0,False,F,41,S,0.0
Mars,True,TRAPPIST-1e,16.0,False,E,14,S,0.0
Earth,False,TRAPPIST-1e,21.0,False,G,35,S,676.0
Mars,False,TRAPPIST-1e,32.0,True,F,42,S,1820.0
Earth,True,PSO J318.5-22,58.0,False,G,38,P,0.0
Earth,False,TRAPPIST-1e,24.0,False,F,43,S,803.0
Mars,False,TRAPPIST-1e,30.0,False,F,44,S,1806.0
Mars,False,TRAPPIST-1e,32.0,False,F,45,S,1750.0
Europa,True,TRAPPIST-1e,42.0,False,B,11,P,0.0
Mars,True,TRAPPIST-1e,35.0,False,F,52,P,0.0
Earth,True,TRAPPIST-1e,21.0,False,G,37,S,0.0
Europa,False,55 Cancri e,46.0,False,C,6,P,3578.0
Europa,False,TRAPPIST-1e,33.0,False,C,6,P,12378.0
